index,index,1. open,2. high,3. low,4. close,5. volume,Ticker
169,11/30/2006,106.05,107.74,97.67,106.81,11872900,CRS
170,10/31/2006,107.31,119.12,101.19,106.99,16344200,CRS
171,9/29/2006,95.79,112,93.8,107.51,14504300,CRS
172,8/31/2006,99.5,103.48,90.88,95.84,13910100,CRS
173,7/31/2006,115.45,122.56,90.11,98.4,20752400,CRS
174,6/30/2006,110.99,121.9,93.72,115.5,20513900,CRS
175,5/31/2006,122,142.11,105,111.8,17077700,CRS
176,4/28/2006,95.52,130.5,95.52,118.95,10346700,CRS
177,3/31/2006,83.84,99.36,82.7,94.52,6630100,CRS
178,2/28/2006,90,91.33,77.53,83.59,7235200,CRS
179,1/31/2006,71.3,91.45,69.95,90.56,7065100,CRS
180,12/30/2005,65.96,72.08,65.8,70.47,5393100,CRS
181,11/30/2005,60.29,67.12,59.34,65.55,5360700,CRS
182,10/31/2005,58.36,61.99,51.18,60.3,8344900,CRS
183,9/30/2005,56,59.09,54.95,58.61,5532100,CRS
184,8/31/2005,62.89,65.52,55.15,55.7,6816200,CRS
185,7/29/2005,51.8,64.31,50.69,62.64,5584500,CRS
186,6/30/2005,53.9,58.73,50.9,51.8,5876000,CRS
187,5/31/2005,55.6,58.73,50.4,54,7414100,CRS
188,4/29/2005,59.9,63.45,53.33,55.3,8229300,CRS
189,3/31/2005,67.42,70.11,56.33,59.41,7765600,CRS
190,2/28/2005,61.46,68.58,60.05,67.62,5714200,CRS
191,1/31/2005,59.5,62.2,49.65,61.26,6937400,CRS
192,12/31/2004,58.44,61.91,52.5,58.46,4324200,CRS
193,11/30/2004,47.95,59.75,46.33,58.45,4980500,CRS
194,10/29/2004,48.88,52.72,38,47.46,7730200,CRS
195,9/30/2004,44.2,47.82,43.75,47.74,3682700,CRS
196,8/31/2004,42.9,45.95,37.16,44.3,7273400,CRS
197,7/30/2004,33.92,43.24,30.93,43,6375300,CRS
198,6/30/2004,30.4,34.05,29.45,34.05,2228400,CRS
199,5/28/2004,27.47,30.71,25.75,30.42,2976300,CRS
200,4/30/2004,32.75,33.95,26.94,27.31,3111200,CRS
201,3/31/2004,34.2,34.97,28.9,32.88,3383400,CRS
202,2/27/2004,30.3,35.57,30,34.16,4673000,CRS
203,1/30/2004,29.9,32.9,28.37,30.26,3391100,CRS
204,12/31/2003,26.95,31.88,26.8,29.57,2851600,CRS
205,11/28/2003,26.05,27.3,24.3,26.8,1864300,CRS
206,10/31/2003,21.5,27.15,21.43,25.85,1926500,CRS
207,9/30/2003,20.9,23.76,20.73,21.44,1625100,CRS
208,8/29/2003,18.33,21.3,17.13,20.82,1351800,CRS
209,7/31/2003,15.5,19,14.55,18.33,1954200,CRS
210,6/30/2003,15.5,16.9,15.23,15.6,1300200,CRS
211,5/30/2003,13,15.53,12.86,15.39,1286300,CRS
212,4/30/2003,10.2,13.36,10.09,13.06,1154900,CRS
213,3/31/2003,11.8,11.98,9.43,10.15,1056100,CRS
214,2/28/2003,10.92,12.12,10.5,11.64,876800,CRS
215,1/31/2003,12.55,12.85,10.5,10.91,1071400,CRS
216,12/31/2002,13.9,14.09,11.6,12.45,1942900,CRS
217,11/29/2002,10.65,14.57,10.55,13.73,2057600,CRS
218,10/31/2002,12.76,13.68,10.25,10.75,2652800,CRS
219,9/30/2002,20.8,20.8,12.39,13,2351300,CRS
220,8/30/2002,23.1,23.1,18.5,20.84,2523400,CRS
221,7/31/2002,28.81,28.81,21.55,23.08,1911100,CRS
222,6/28/2002,29.27,29.32,27.2,28.81,1566300,CRS
223,5/31/2002,26.4,29.75,25.89,29.25,1585000,CRS
224,4/30/2002,28.94,30.55,26.03,26.5,1976500,CRS
225,3/28/2002,24,29.2,24,28.94,1721000,CRS
226,2/28/2002,23.12,24.28,21.9,24.04,1679300,CRS
227,1/31/2002,26.49,26.85,22,23.03,1668300,CRS
228,12/31/2001,25.61,27.38,24.52,26.62,1177800,CRS
229,11/30/2001,21.25,26.35,21.25,25.71,1155900,CRS
230,10/31/2001,22.45,24.65,21.75,21.75,1389600,CRS
231,9/28/2001,28.98,29.4,19.8,22.25,1490700,CRS
232,8/31/2001,27.4,29.92,27.3,28.98,1242700,CRS
233,7/31/2001,29.35,29.58,26.36,27.44,1262400,CRS
234,6/29/2001,29.5,31.8,28.3,29.29,1569700,CRS
235,5/31/2001,26.21,29.8,25.35,29.5,1944500,CRS
236,4/30/2001,28,28.29,26,26.2,1540200,CRS
237,3/30/2001,27.7,30.71,27.05,28.05,1658500,CRS
238,2/28/2001,27.65,28.49,25.8,27.7,1716400,CRS
239,1/31/2001,34.75,34.81,26,27.57,2271200,CRS
240,12/29/2000,33.31,38.25,31,35,2213400,CRS
241,11/30/2000,31,35,31,33.19,1853000,CRS
242,10/31/2000,29.25,31.5,26.25,31,1570200,CRS
243,9/29/2000,32.63,32.88,28.78,29.13,969700,CRS
244,8/31/2000,30.5,33.25,28.94,32.5,2023200,CRS
245,7/31/2000,21.25,31.25,21,30.81,1988000,CRS
246,6/30/2000,20.88,21.88,19.38,21.13,1082200,CRS
247,5/31/2000,20,21.75,20,20.88,1249000,CRS
248,4/28/2000,21,21.5,18.75,20.06,2368700,CRS
249,3/31/2000,22.25,24.13,20.25,20.81,2208400,CRS
250,2/29/2000,24.06,25.5,22,22.25,1184800,CRS
251,1/31/2000,27.69,28.88,23.75,24,1240500,CRS
252,12/31/1999,26.25,27.81,24.81,27.44,1436200,CRS
0,12/14/2020,90.37,95.86,90.37,94.5,307653,CRVL
1,11/30/2020,91.82,94.59,78.6287,89.55,844199,CRVL
2,10/30/2020,85.65,93.16,85.47,91.22,713621,CRVL
3,9/30/2020,82.92,87.84,81.54,85.43,1048182,CRVL
4,8/31/2020,79.8,84.12,74.29,83.02,866741,CRVL
5,7/31/2020,71.17,79.79,70.66,79.49,1078681,CRVL
6,6/30/2020,67.26,72.94,62.31,70.89,1955865,CRVL
