Ticker,pct change,Industry,Sector,Full Time Emp,Year
EXLS,13.44171292624901,Technology,Information Technology Services,31700,2016
GCO,-6.50563607085346,Consumer Cyclical,Apparel Retail,5650,2016
LZB,30.950080515297905,Consumer Cyclical,"Furnishings, Fixtures & Appliances",9500,2016
FUL,22.955909749534264,Basic Materials,Specialty Chemicals,6369,2016
LMAT,42.38358326756117,Healthcare,Medical Instruments & Supplies,454,2016
ALEX,32.471584577668814,Real Estate,REIT-Diversified,793,2016
PPBI,41.923620933521924,Financial Services,Banks-Regional,989,2016
MANT,31.76331360946746,Technology,Software-Application,8900,2016
EXTN,30.878661087866107,Energy,Oil & Gas Equipment & Services,3600,2016
RC,-1.33828996282529,Real Estate,REIT-Mortgage,500,2016
RMBS,11.111111111111107,Technology,Semiconductors,685,2016
FMBI,30.915576694411417,Financial Services,Banks-Regional,2122,2016
FELE,29.87146529562981,Industrials,Specialty Industrial Machinery,5500,2016
ABCB,33.64678899082569,Financial Services,Banks-Regional,2656,2016
RGR,-11.669829222011382,Industrials,Aerospace & Defense,1609,2016
ELY,20.52919708029197,Consumer Cyclical,Leisure,4200,2016
FBP,60.66565809379727,Financial Services,Banks-Regional,2674,2016
EPAY,-15.187849720223824,Technology,Software-Infrastructure,2000,2016
GBX,37.761732851985556,Industrials,Railroads,10600,2016
PRDO,71.45688800792864,Consumer Defensive,Education & Training Services,2250,2016
AIR,36.42965204236005,Industrials,Aerospace & Defense,4200,2016
LNTH,74.76744186046511,Healthcare,Diagnostics & Research,508,2016
ENTA,23.28358208955224,Healthcare,Biotechnology,141,2016
WIRE,14.163783160322954,Industrials,Electrical Equipment & Parts,1380,2016
LNN,5.723093419112714,Industrials,Farm & Heavy Construction Machinery,1125,2016
AEGN,23.92405063291139,Industrials,Engineering & Construction,4900,2016
RCII,-21.06666666666666,Industrials,Rental & Leasing Services,14500,2016
AEIS,48.71232876712329,Industrials,Electrical Equipment & Parts,10917,2016
WDR,-40.64582265504868,Financial Services,Asset Management,1162,2016
PMT,17.226634086744046,Real Estate,REIT-Mortgage,1,2016
FBNC,30.913780397936623,Financial Services,Banks-Regional,1065,2016
PTEN,46.582466567607725,Energy,Oil & Gas Drilling,5800,2016
FWRD,8.906711692697353,Industrials,Integrated Freight & Logistics,4640,2016
EPAC,10.289017341040456,Industrials,Specialty Industrial Machinery,2300,2016
PSMT,8.311377245508979,Consumer Defensive,Discount Stores,9500,2016
AIT,35.28619528619529,Industrials,Industrial Distribution,6141,2016
FORM,25.80357142857142,Technology,Semiconductors,1836,2016
M,-12.845573862049688,Consumer Cyclical,Department Stores,123000,2016
RDNT,7.286821705426353,Healthcare,Diagnostics & Research,6165,2016
WETF,-7.719928186714537,Financial Services,Asset Management,211,2016
PRGS,18.916379580331974,Technology,Software-Application,1538,2016
ENSG,-1.0805943268797766,Healthcare,Medical Care Facilities,24500,2016
PRA,10.818505338078301,Financial Services,Insurance-Property & Casualty,961,2016
RES,37.0519939424533,Energy,Oil & Gas Equipment & Services,2700,2016
QEP,30.363932645301468,Energy,Oil & Gas E&P,248,2016
EZPW,71.45539906103286,Financial Services,Credit Services,6800,2016
FARO,28.69444444444444,Technology,Scientific & Technical Instruments,1818,2016
RAVN,40.43650793650794,Industrials,Specialty Industrial Machinery,1362,2016
ETH,27.54409769335143,Consumer Cyclical,"Furnishings, Fixtures & Appliances",3369,2016
RGP,21.50649350649351,Industrials,Consulting Services,929,2016
RMAX,37.82142857142857,Real Estate,Real Estate Services,500,2016
EIG,37.0959595959596,Financial Services,Insurance-Specialty,704,2016
RGNX,25.067385444743934,Healthcare,Biotechnology,257,2016
PLUS,17.78645833333334,Technology,Software-Application,1497,2016
POWL,35.794871794871796,Industrials,Electrical Equipment & Parts,1997,2016
PRLB,-7.088607594936709,Industrials,Metal Fabrication,2535,2016
LOCO,1.4634146341463534,Consumer Cyclical,Restaurants,5005,2016
ADUS,39.486447931526385,Healthcare,Medical Care Facilities,5002,2016
EVTC,22.591549295774644,Technology,Software-Infrastructure,2300,2016
AIN,26.73866090712742,Consumer Cyclical,Textile Manufacturing,4000,2016
PLT,18.133674214755295,Technology,Communication Equipment,6584,2016
WNC,30.088495575221234,Industrials,Farm & Heavy Construction Machinery,6900,2016
LMNX,5.140879881364306,Healthcare,Medical Instruments & Supplies,1257,2016
MRTN,27.98283261802575,Industrials,Trucking,4087,2016
FSS,5.253042921204358,Industrials,Pollution & Treatment Controls,3600,2016
FCPT,17.641325536062382,Real Estate,REIT-Hotel & Motel,361,2016
REGI,28.556701030927833,Energy,Oil & Gas Refining & Marketing,829,2016
EHTH,1.5023474178403768,Financial Services,Insurance Brokers,1500,2016
LPI,45.120226308345124,Energy,Oil & Gas E&P,280,2016
FCF,38.43441466854725,Financial Services,Banks-Regional,1399,2016
FN,38.18858560794044,Technology,Electronic Components,11506,2016
QNST,-1.3297872340425603,Communication Services,Advertising Agencies,592,2016
MPAA,-27.674591381872197,Consumer Cyclical,Auto Parts,4012,2016
MIK,-6.601466992665044,Consumer Cyclical,Specialty Retail,12000,2016
MLAB,15.274949083503056,Technology,Scientific & Technical Instruments,460,2016
LPSN,25.033112582781452,Technology,Software-Application,1213,2016
PRAA,23.913043478260875,Financial Services,Credit Services,3811,2016
PLAY,35.5772646536412,Consumer Cyclical,Restaurants,15908,2016
AGO,37.03997881916866,Financial Services,Insurance-Specialty,441,2016
MED,30.266634638481865,Consumer Cyclical,Personal Services,550,2016
MNRO,-14.947552447552443,Consumer Cyclical,Auto Parts,8184,2016
FFBC,43.7609841827768,Financial Services,Banks-Regional,2065,2016
MOV,10.608695652173916,Consumer Cyclical,Luxury Goods,1145,2016
FLOW,25.639426076107302,Industrials,Specialty Industrial Machinery,5000,2016
ESE,39.22330097087379,Technology,Scientific & Technical Instruments,2713,2016
