Ticker,pct change,Sector,Industry,Full Time Emp,Year
B,-22.541222114451998,Industrials,Specialty Industrial Machinery,5749.0,2020
SMP,10.31936496215618,Consumer Cyclical,Auto Parts,4200.0,2020
BELFB,-0.46403712296984834,Technology,Electronic Components,6935.0,2020
GCI,-132.319391634981,Communication Services,Publishing,21255.0,2020
MD,-0.9186351706036784,Healthcare,Medical Care Facilities,9480.0,2020
PARR,-53.35365853658538,Energy,Oil & Gas Refining & Marketing,1408.0,2020
AEL,4.6914471309996415,Financial Services,Insurance-Life,608.0,2020
HCC,12.644742936544699,Basic Materials,Coking Coal,1417.0,2020
ABCB,-2.5255102040816197,Financial Services,Banks-Regional,2656.0,2020
CONN,24.15584415584416,Consumer Cyclical,Specialty Retail,4200.0,2020
GFF,-0.048123195380163665,Industrials,Tools & Accessories,7400.0,2020
TVTY,-17.635869565217398,Healthcare,Medical Care Facilities,1000.0,2020
RC,-31.719128329297817,Real Estate,REIT-Mortgage,500.0,2020
QEP,-32.63598326359832,Energy,Oil & Gas E&P,248.0,2020
SBSI,-10.627562283191413,Financial Services,Banks-Regional,845.0,2020
